province,year,all_wage,health_wage,ratio,r1,intensity
安徽省,2024,105416.0,136234.0,1.2923465128633225,0,89.0
安徽省,2023,103688.0,136840.0,1.3197284160172826,0,62.5
安徽省,2022,98649.0,133119.0,1.3494206732962322,0,50.0
安徽省,2021,93861.0,125732.0,1.3395552998583011,0,37.5
安徽省,2020,85854.0,115979.0,1.3508863885200457,0,25.0
安徽省,2019,79037.0,105423.0,1.3338436428508167,0,12.5
安徽省,2018,74378.0,96596.0,1.298717362661002,0,0.0
安徽省,2017,65150.0,83435.0,1.2806600153491943,0,0.0
安徽省,2016,59102.0,71104.0,1.2030726540557004,0,0.0
福建省,2024,112377.0,157960.0,1.4056257063278073,1,178.0
福建省,2023,108520.0,164846.0,1.5190379653520087,1,125.0
福建省,2022,103803.0,156258.0,1.5053322158319125,1,100.0
福建省,2021,98071.0,142942.0,1.45753586687196,1,75.0
福建省,2020,88149.0,127830.0,1.4501582547731682,1,50.0
福建省,2019,81814.0,119961.0,1.4662649424303908,1,25.0
福建省,2018,74316.0,110082.0,1.4812691748748588,1,0.0
福建省,2017,67420.0,96333.0,1.4288490062296055,1,0.0
福建省,2016,61973.0,87997.0,1.4199248059638876,1,0.0
江西省,2024,95750.0,122274.0,1.2770130548302872,0,89.0
江西省,2023,92794.0,124536.0,1.3420695303575663,0,62.5
江西省,2022,87972.0,117922.0,1.3404492338471332,0,50.0
江西省,2021,83766.0,113976.0,1.360647518086097,0,37.5
江西省,2020,78182.0,103695.0,1.3263283108643933,0,25.0
江西省,2019,73725.0,96226.0,1.3052017633095965,0,12.5
江西省,2018,68573.0,87882.0,1.2815831303865952,0,0.0
江西省,2017,61429.0,78366.0,1.2757166810464113,0,0.0
江西省,2016,56136.0,70701.0,1.2594591705857203,0,0.0
山东省,2024,108131.0,130421.0,1.2061388500984918,0,89.0
山东省,2023,107131.0,132962.0,1.2411160168391968,0,62.5
山东省,2022,102247.0,125386.0,1.2263049282619538,0,50.0
山东省,2021,94768.0,117288.0,1.2376329562721593,0,37.5
山东省,2020,87749.0,106272.0,1.211090724680623,0,25.0
山东省,2019,81446.0,100037.0,1.228261670309162,0,12.5
山东省,2018,73593.0,88758.0,1.2060657943010884,0,0.0
山东省,2017,68081.0,84745.0,1.244767262525521,0,0.0
山东省,2016,62539.0,78411.0,1.2537936327731496,0,0.0
河南省,2024,86199.0,99230.0,1.15117344748779,0,89.0
河南省,2023,84156.0,101133.0,1.2017324967916727,0,62.5
河南省,2022,77627.0,92180.0,1.1874734306362478,0,50.0
河南省,2021,74872.0,89435.0,1.1945052890266055,0,37.5
河南省,2020,70239.0,82555.0,1.175344182007147,0,25.0
河南省,2019,67268.0,81520.0,1.2118689421418802,0,12.5
河南省,2018,63174.0,77481.0,1.2264697502136954,0,0.0
河南省,2017,55495.0,74914.0,1.3499234165240113,0,0.0
河南省,2016,49505.0,61045.0,1.233107766892233,0,0.0
湖北省,2024,108795.0,131069.0,1.2047336734224918,0,89.0
湖北省,2023,109227.0,140527.0,1.2865591840845212,0,62.5
湖北省,2022,101388.0,128376.0,1.266185347378388,0,50.0
湖北省,2021,96994.0,120470.0,1.2420355898302988,0,37.5
湖北省,2020,85052.0,95982.0,1.1285096176456755,0,25.0
湖北省,2019,79303.0,93189.0,1.1751005636608955,0,12.5
湖北省,2018,73777.0,88178.0,1.195196334901121,0,0.0
湖北省,2017,65912.0,79354.0,1.2039385847797062,0,0.0
湖北省,2016,59831.0,69692.0,1.1648142267386472,0,0.0
湖南省,2024,97170.0,121943.0,1.2549449418544818,0,89.0
湖南省,2023,97015.0,127551.0,1.3147554501881153,0,62.5
湖南省,2022,91413.0,122074.0,1.3354118123242864,0,50.0
湖南省,2021,85438.0,117192.0,1.3716613216601512,0,37.5
湖南省,2020,79122.0,107458.0,1.3581304820403932,0,25.0
湖南省,2019,74316.0,98446.0,1.3246945476075138,0,12.5
湖南省,2018,70221.0,95776.0,1.3639224733341877,0,0.0
湖南省,2017,63690.0,87879.0,1.3797927461139896,0,0.0
湖南省,2016,58241.0,77796.0,1.3357600315928642,0,0.0
广东省,2024,135395.0,196745.0,1.4531186528306068,1,178.0
广东省,2023,131418.0,197354.0,1.501727312849077,1,125.0
广东省,2022,124916.0,189974.0,1.5208139869992634,1,100.0
广东省,2021,118133.0,175780.0,1.487983882573032,1,75.0
广东省,2020,108045.0,160600.0,1.4864176963302327,1,50.0
广东省,2019,98889.0,148119.0,1.497830901313594,1,25.0
广东省,2018,88636.0,118701.0,1.3391962633692855,1,0.0
广东省,2017,79183.0,107710.0,1.3602667239180126,1,0.0
广东省,2016,72326.0,94663.0,1.308837762353787,1,0.0
广西壮族自治区,2024,96547.0,119615.0,1.2389302619449594,0,89.0
广西壮族自治区,2023,96184.0,120491.0,1.252713549031024,0,62.5
广西壮族自治区,2022,92066.0,121271.0,1.3172180826798165,0,50.0
广西壮族自治区,2021,88170.0,114421.0,1.2977316547578541,0,37.5
广西壮族自治区,2020,82751.0,105839.0,1.2790056917741175,0,25.0
